City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Saint-Pierre,RE,71.28,overcast clouds,-21.3393,55.4781,Alize Plage
4,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
10,Rikitea,PF,74.75,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,Le four à pain
13,Mataura,NZ,73.06,few clouds,-46.1927,168.8643,Ellie's Villa
17,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
18,Tonj,SS,72.57,broken clouds,7.2737,28.6822,Lakan Hotel
24,Baculin,PH,85.73,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
28,Atuona,PF,77.88,light rain,-9.8,-139.0333,Villa Enata
29,Robertsport,LR,77.04,light rain,6.7533,-11.3686,Kwepunha Retreat
31,Bandarbeyla,SO,76.55,clear sky,9.4942,50.8122,JABIR HOTEL
33,Banda Aceh,ID,76.84,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
34,Souillac,MU,72.61,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
38,Bengkulu,ID,74.08,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
41,Maragogi,BR,76.5,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
46,Emerald,AU,87.35,clear sky,-23.5333,148.1667,Emerald Inn
47,Harper,LR,77.27,moderate rain,4.375,-7.7169,Screensaver
51,Teknaf,BD,72.88,clear sky,20.8624,92.3058,Forestry Guesthouse
52,Butaritari,KI,80.89,broken clouds,3.0707,172.7902,Isles Sunset Lodge
61,Lazaro Cardenas,MX,77.9,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
62,Vargem Grande,BR,75.99,few clouds,-3.5431,-43.9158,Pousada São Raimundo
63,Vaini,TO,75.49,moderate rain,-21.2,-175.2,Keleti Beach Resort
66,Hoa Binh,VN,81.3,few clouds,20.8133,105.3383,Hoa Dao Hotel
74,Tuatapere,NZ,70.7,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
75,Hithadhoo,MV,81.3,light rain,-0.6,73.0833,Scoop Guest House
76,Nakhon Thai,TH,82.18,overcast clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
77,Mahebourg,MU,73.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
78,Kuala Terengganu,MY,83.98,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
84,Victoria,HK,80.19,broken clouds,22.2855,114.1577,Mini Central
87,Turan,VN,82.38,scattered clouds,16.0678,108.2208,Grand Mercure Danang
89,Mozarlandia,BR,78.44,few clouds,-14.7447,-50.5706,Hotel Santa Mônica
90,Port Macquarie,AU,80.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
92,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
96,Kaeo,NZ,71.33,few clouds,-35.1,173.7833,Bushido Lodge
97,Camacari,BR,80.37,overcast clouds,-12.6975,-38.3242,Sítio Blasi
103,Rapar,IN,72.81,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
104,Touros,BR,77.88,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
111,Waingapu,ID,86.76,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
115,Carnarvon,AU,81.09,clear sky,-24.8667,113.6333,Hospitality Carnarvon
120,Kampong Chhnang,KH,79.86,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
121,Ratnagiri,IN,76.42,clear sky,16.9833,73.3,Hotel Landmark
126,Dakar,SN,76.08,broken clouds,14.6937,-17.4441,Novotel Dakar
128,Paredon,MX,79.74,clear sky,16.0333,-93.8667,Hotel Principal Paredon
129,Bassila,BJ,77.04,overcast clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
130,Hambantota,LK,78.22,overcast clouds,6.1241,81.1185,Bungalow 63
132,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
133,Mahibadhoo,MV,77.47,moderate rain,3.7833,72.9667,Omadhoo Inn
134,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
135,Ormara,PK,79.77,clear sky,25.2088,64.6357,Kenara Colony House for Rent
138,Mount Isa,AU,85.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
144,Carauari,BR,78.19,overcast clouds,-4.8828,-66.8958,Hotel Fellip
145,Maturin,VE,74.07,scattered clouds,9.75,-63.1767,"Residential Hotel ""La Pichincha"""
149,Batemans Bay,AU,70.11,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
152,Cartagena,CO,80.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
155,Samarai,PG,83.88,broken clouds,-10.6167,150.6667,Nuli Sapi
156,Perene,PE,70.9,overcast clouds,-10.9492,-75.2261,Hospedaje EL TIGRE
158,Bambous Virieux,MU,73.22,light rain,-20.3428,57.7575,Casa Tia Villa
159,Arraial Do Cabo,BR,73.72,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
160,Tezu,IN,70.54,clear sky,27.9167,96.1667,Circuit House
166,Jalingo,NG,75.45,clear sky,8.8833,11.3667,Debright Motel
176,Pandan,PH,83.17,overcast clouds,14.0453,124.1694,Bonifacio Lodge
177,Innisfail,AU,83.82,clear sky,-17.5333,146.0333,Moondarra Motel
178,Te Anau,NZ,71.2,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
180,Bubaque,GW,82.33,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
184,Port Blair,IN,78.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
