City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,62.28,73,94,8.01,overcast clouds
1,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.96,80,100,11.5,overcast clouds
2,Saint-Pierre,RE,-21.3393,55.4781,71.28,88,100,18.41,overcast clouds
3,Kumla,SE,59.1277,15.1434,45.0,100,100,3.44,fog
4,Hilo,US,19.7297,-155.09,80.33,71,20,6.91,few clouds
5,Bredasdorp,ZA,-34.5322,20.0403,55.98,91,20,3.04,few clouds
6,Pisz,PL,53.6274,21.8125,43.5,95,98,5.14,overcast clouds
7,Trapani,IT,37.8333,12.6667,61.27,83,50,10.85,scattered clouds
8,Punta Arenas,CL,-53.15,-70.9167,53.71,58,75,5.75,broken clouds
9,Geraldton,AU,-28.7667,114.6,79.21,31,0,18.41,clear sky
10,Rikitea,PF,-23.1203,-134.9692,74.75,87,95,15.32,overcast clouds
11,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,88,13.94,light rain
12,Pevek,RU,69.7008,170.3133,-7.98,88,100,0.78,overcast clouds
13,Mataura,NZ,-46.1927,168.8643,73.06,41,24,4.94,few clouds
14,Katsuura,JP,35.1333,140.3,61.48,54,83,22.88,broken clouds
15,Valjevo,RS,44.2751,19.8982,44.8,79,7,3.44,clear sky
16,Miracatu,BR,-24.2814,-47.4597,67.98,99,98,0.63,overcast clouds
17,Georgetown,MY,5.4112,100.3354,82.33,86,20,0.0,light rain
18,Tonj,SS,7.2737,28.6822,72.57,42,66,2.06,broken clouds
19,Ushuaia,AR,-54.8,-68.3,49.66,71,20,11.5,few clouds
20,Rio Grande,BR,-32.035,-52.0986,68.34,95,100,24.14,overcast clouds
21,Nioki,CD,-2.7167,17.6833,70.45,99,100,3.13,light rain
22,Sohag,EG,26.557,31.6948,63.21,54,0,7.63,clear sky
23,Dongsheng,CN,39.8161,109.9776,35.4,32,0,15.52,clear sky
24,Baculin,PH,7.4525,126.5842,85.73,68,100,7.96,overcast clouds
25,Bethel,US,41.3712,-73.414,43.54,63,0,5.99,clear sky
26,Nikolskoye,RU,59.7035,30.7861,33.8,86,19,3.69,few clouds
27,Khatanga,RU,71.9667,102.5,-20.45,98,100,7.81,overcast clouds
28,Atuona,PF,-9.8,-139.0333,77.88,78,11,16.2,light rain
29,Robertsport,LR,6.7533,-11.3686,77.04,86,100,6.98,light rain
30,Penon Blanco,MX,24.7897,-104.0369,64.85,24,0,15.79,clear sky
