City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Castro,BR,2022-11-11 02:20:34,-24.7911,-50.0119,62.87,69,79,3.38
1,Busselton,AU,2022-11-11 02:20:34,-33.65,115.3333,59.47,49,52,17.09
2,Ushuaia,AR,2022-11-11 02:18:15,-54.8,-68.3,44.26,70,20,8.05
3,Port Alfred,ZA,2022-11-11 02:20:35,-33.5906,26.891,62.19,94,100,8.99
4,Nyurba,RU,2022-11-11 02:20:35,63.2842,118.3319,8.08,91,100,7.67
5,Torbay,CA,2022-11-11 02:20:35,47.6666,-52.7314,42.76,77,75,16.11
6,Vila Franca Do Campo,PT,2022-11-11 02:20:36,37.7167,-25.4333,60.19,82,100,7.25
7,Ribeira Grande,PT,2022-11-11 02:20:36,38.5167,-28.7,57.78,85,86,5.01
8,Karratha,AU,2022-11-11 02:20:37,-20.7377,116.8463,81.19,32,0,12.77
9,Kruisfontein,ZA,2022-11-11 02:20:38,-34.0033,24.7314,61.88,76,87,11.9
10,Aasiaat,GL,2022-11-11 02:20:38,68.7098,-52.8699,10.85,89,100,4.99
11,Bredasdorp,ZA,2022-11-11 02:20:39,-34.5322,20.0403,59.11,85,2,10.98
12,Bluff,NZ,2022-11-11 02:20:39,-46.6,168.3333,58.12,71,0,11.7
13,Saldanha,ZA,2022-11-11 02:20:39,-33.0117,17.9442,53.65,83,0,8.12
14,Mataura,NZ,2022-11-11 02:20:40,-46.1927,168.8643,77.88,32,0,1.3
15,Piracaia,BR,2022-11-11 02:20:40,-23.0539,-46.3581,65.44,99,29,3.74
16,Jaragua,BR,2022-11-11 02:20:41,-15.7569,-49.3344,69.62,86,100,0.96
17,Qaanaaq,GL,2022-11-11 02:20:41,77.484,-69.3632,-7.29,58,0,7.87
18,Cabo San Lucas,MX,2022-11-11 02:15:57,22.8909,-109.9124,77.61,71,75,8.05
19,Kapaa,US,2022-11-11 02:20:42,22.0752,-159.319,84.18,73,0,14.97
20,Punta Arenas,CL,2022-11-11 02:20:42,-53.15,-70.9167,46.51,71,75,5.75
21,Atuona,PF,2022-11-11 02:20:43,-9.8,-139.0333,78.06,80,13,13.6
22,Rikitea,PF,2022-11-11 02:18:21,-23.1203,-134.9692,74.23,82,100,5.86
23,Dikson,RU,2022-11-11 02:20:43,73.5069,80.5464,1.15,96,77,13.18
24,Dalbandin,PK,2022-11-11 02:20:44,28.8947,64.4101,61.39,38,87,5.57
25,Port Hardy,CA,2022-11-11 02:17:27,50.6996,-127.4199,39.38,93,100,19.57
26,Arua,UG,2022-11-11 02:20:45,3.0201,30.9111,61.32,90,100,3.27
27,Klaksvik,FO,2022-11-11 02:20:45,62.2266,-6.589,50.92,85,100,29.86
28,Sola,VU,2022-11-11 02:20:46,-13.8833,167.55,81.27,83,100,0.0
29,New Norfolk,AU,2022-11-11 02:20:46,-42.7826,147.0587,65.71,66,51,4.09
30,Okhotsk,RU,2022-11-11 02:20:46,59.3833,143.3,6.21,64,7,19.77
31,Pevek,RU,2022-11-11 02:20:47,69.7008,170.3133,1.44,95,100,2.1
32,Nagato,JP,2022-11-11 02:20:47,34.3833,131.2,67.01,57,6,8.32
33,Touros,BR,2022-11-11 02:20:48,-5.1989,-35.4608,77.52,76,43,13.38
34,Evensk,RU,2022-11-11 02:20:48,61.95,159.2333,12.85,87,100,18.39
35,Vaini,TO,2022-11-11 02:20:49,-21.2,-175.2,82.56,83,75,10.36
36,Berbera,SO,2022-11-11 02:20:49,10.4396,45.0143,80.56,73,83,10.29
37,Necochea,AR,2022-11-11 02:20:49,-38.5473,-58.7368,60.64,74,37,1.54
38,Ponta Do Sol,PT,2022-11-11 02:20:50,32.6667,-17.1,66.7,82,61,2.04
39,Bodden Town,KY,2022-11-11 02:20:50,19.2833,-81.25,78.8,79,20,2.3
40,East London,ZA,2022-11-11 02:20:51,-33.0153,27.9116,65.59,89,100,18.34
41,Salalah,OM,2022-11-11 02:20:51,17.0151,54.0924,75.29,64,20,2.3
42,Okha,RU,2022-11-11 02:20:52,53.5739,142.9478,30.43,59,100,20.56
43,Mildura,AU,2022-11-11 02:20:52,-34.2,142.15,76.06,64,6,7.29
44,Butaritari,KI,2022-11-11 02:20:53,3.0707,172.7902,81.37,79,35,18.1
45,Tuatapere,NZ,2022-11-11 02:20:53,-46.1333,167.6833,69.17,46,0,6.44
46,Mar Del Plata,AR,2022-11-11 02:20:54,-38.0023,-57.5575,65.08,91,0,8.99
47,Laguna,US,2022-11-11 02:20:54,38.421,-121.4238,51.98,72,0,0.0
48,Tondano,ID,2022-11-11 02:21:55,1.3038,124.9112,84.29,59,100,1.32
49,Riyadh,SA,2022-11-11 02:21:22,24.6877,46.7219,71.74,24,52,10.49
50,Susanville,US,2022-11-11 02:21:40,40.4163,-120.653,31.8,71,0,4.61
51,Sao Filipe,CV,2022-11-11 02:21:55,14.8961,-24.4956,77.11,73,100,5.32
52,Nuuk,GL,2022-11-11 02:21:32,64.1835,-51.7216,20.01,79,100,6.91
53,Requena,ES,2022-11-11 02:21:56,39.4883,-1.1004,49.51,92,90,6.71
54,Romny,UA,2022-11-11 02:21:56,50.751,33.4747,40.33,85,100,7.85
55,Faanui,PF,2022-11-11 02:21:57,-16.4833,-151.75,78.91,77,34,5.08
56,Fortuna,US,2022-11-11 02:21:57,40.5982,-124.1573,46.98,95,0,0.0
57,Guerrero Negro,MX,2022-11-11 02:21:58,27.9769,-114.0611,63.72,62,0,16.04
58,Kununurra,AU,2022-11-11 02:21:59,-15.7667,128.7333,96.78,44,40,9.22
59,Moyale,KE,2022-11-11 02:21:59,3.5167,39.0584,65.88,75,69,6.8
60,Tasiilaq,GL,2022-11-11 02:21:59,65.6145,-37.6368,35.76,80,100,32.66
61,Souillac,MU,2022-11-11 02:22:00,-20.5167,57.5167,70.18,88,20,3.44
62,Mumford,GH,2022-11-11 02:22:00,5.2618,-0.759,78.26,83,100,8.81
63,Anchorage,US,2022-11-11 02:17:17,61.2181,-149.9003,32.36,94,100,0.0
64,Cape Town,ZA,2022-11-11 02:17:29,-33.9258,18.4232,61.92,76,0,4.61
65,Liwale,TZ,2022-11-11 02:22:01,-9.7667,37.9333,69.17,95,87,3.42
66,Narsaq,GL,2022-11-11 02:22:02,60.9167,-46.05,25.02,95,100,2.42
67,Hobart,AU,2022-11-11 02:22:02,-42.8794,147.3294,66.06,90,40,18.41
68,Pacific Grove,US,2022-11-11 02:22:03,36.6177,-121.9166,53.65,82,0,5.99
69,Maniitsoq,GL,2022-11-11 02:22:03,65.4167,-52.9,20.26,57,100,3.74
70,Ulaangom,MN,2022-11-11 02:22:04,49.9811,92.0667,17.44,74,62,2.46
71,San Patricio,US,2022-11-11 02:22:05,28.017,-97.5169,77.9,77,28,9.13
72,Palana,RU,2022-11-11 02:22:05,59.1167,159.9667,27.03,73,100,4.76
73,Walvis Bay,NA,2022-11-11 02:22:06,-22.9575,14.5053,59.09,94,0,8.05
74,Georgetown,MY,2022-11-11 02:22:06,5.4112,100.3354,83.89,82,20,8.05
75,Esil,KZ,2022-11-11 02:22:06,51.9556,66.4042,28.56,95,98,12.01
76,Tuktoyaktuk,CA,2022-11-11 02:22:07,69.4541,-133.0374,19.4,93,100,9.22
77,Hamilton,US,2022-11-11 02:17:55,39.1834,-84.5333,63.0,55,0,6.91
78,Krasnoselkup,RU,2022-11-11 02:22:08,65.7,82.4667,2.08,88,100,10.22
79,Guapiacu,BR,2022-11-11 02:22:08,-20.795,-49.2203,82.69,32,0,2.3
80,Albany,US,2022-11-11 02:19:11,42.6001,-73.9662,56.59,80,30,3.38
81,Wawa,NG,2022-11-11 02:22:09,9.9022,4.4192,76.19,40,95,1.01
82,Alice Springs,AU,2022-11-11 02:22:10,-23.7,133.8833,92.75,26,33,14.97
83,Doctor Juan Manuel Frutos,PY,2022-11-11 02:22:10,-25.3667,-55.8,63.73,98,100,6.73
84,Bambous Virieux,MU,2022-11-11 02:22:11,-20.3428,57.7575,72.21,88,20,3.44
85,Hilo,US,2022-11-11 02:22:11,19.7297,-155.09,80.33,65,0,10.36
86,Kavaratti,IN,2022-11-11 02:22:12,10.5669,72.642,81.97,68,100,9.8
87,Haines Junction,CA,2022-11-11 02:22:12,60.7522,-137.5108,22.95,93,100,1.14
88,Sabha,LY,2022-11-11 02:22:13,27.0377,14.4283,61.3,56,0,10.13
89,Katsuura,JP,2022-11-11 02:22:14,35.1333,140.3,68.47,57,0,16.24
90,Jalu,LY,2022-11-11 02:22:14,29.0331,21.5482,60.03,47,0,6.91
